INSERT INTO dim_atividade (atividade_nome, atividade_descricao, projeto_id, ativo) VALUES
('Desenvolvimento Frontend', 'Desenvolvimento de interfaces de usuário e componentes React', 1, true),
('Desenvolvimento Backend', 'Desenvolvimento de APIs REST e serviços Spring Boot', 1, true),
('Testes Unitários', 'Criação e execução de testes unitários e de integração', 1, true),
('Code Review', 'Revisão de código de outros desenvolvedores', 1, true),
('Documentação', 'Criação e atualização de documentação técnica', 1, true),
('Reuniões', 'Participação em reuniões de equipe e planejamento', 1, true),
('Bug Fix', 'Correção de bugs reportados pelos usuários', 1, true),
('Refatoração', 'Melhoria e otimização de código existente', 1, true),
('Deploy', 'Processo de deploy e configuração de ambientes', 1, true),
('Análise de Requisitos', 'Análise e validação de requisitos funcionais', 1, true);

-- Setembro 2025 - Desenvolvedor 1
INSERT INTO fato_apontamento_horas (dev_id, atividade_id, projeto_id, data_apontamento, horas_trabalhadas, descricao_trabalho, data_criacao) VALUES
(2, 3, 1, '2025-09-18', 4.0, 'Testes de carga no banco', NOW()),
(2, 2, 1, '2025-09-18', 4.0, 'Desenvolvimento dos repositories', NOW()),
(2, 4, 1, '2025-09-19', 3.0, 'Code review da estrutura inicial', NOW()),
(2, 2, 1, '2025-09-19', 5.0, 'Implementação dos services básicos', NOW()),
(2, 6, 1, '2025-09-20', 1.5, 'Demo para o cliente', NOW()),
(2, 7, 1, '2025-09-20', 6.5, 'Correções após feedback do cliente', NOW()),

(3, 1, 1, '2025-09-16', 6.0, 'Setup do ambiente React', NOW()),
(3, 10, 1, '2025-09-16', 2.0, 'Análise do design system', NOW()),
(3, 1, 1, '2025-09-17', 8.0, 'Criação da estrutura de componentes', NOW()),
(3, 1, 1, '2025-09-18', 7.0, 'Implementação do layout base', NOW()),
(3, 5, 1, '2025-09-18', 1.0, 'Documentação dos padrões de código', NOW()),
(3, 3, 1, '2025-09-19', 4.0, 'Setup dos testes automatizados', NOW()),
(3, 1, 1, '2025-09-19', 4.0, 'Desenvolvimento dos primeiros componentes', NOW()),
(3, 6, 1, '2025-09-20', 2.0, 'Apresentação do progresso', NOW()),
(3, 7, 1, '2025-09-20', 6.0, 'Ajustes na responsividade', NOW()),

-- Dados mais recentes (27-30 Setembro)
(1, 1, 1, '2025-09-27', 5.0, 'Implementação de filtros avançados', NOW()),
(1, 3, 1, '2025-09-27', 3.0, 'Testes de integração das APIs', NOW()),
(1, 2, 1, '2025-09-30', 4.0, 'Otimização de queries complexas', NOW()),
(1, 4, 1, '2025-09-30', 2.0, 'Review do código de métricas', NOW()),
(1, 6, 1, '2025-09-30', 2.0, 'Retrospectiva da sprint', NOW()),

(2, 2, 1, '2025-09-27', 6.0, 'Desenvolvimento do módulo de relatórios', NOW()),
(2, 5, 1, '2025-09-27', 2.0, 'Atualização da documentação da API', NOW()),
(2, 8, 1, '2025-09-30', 3.0, 'Refatoração do código de métricas', NOW()),
(2, 9, 1, '2025-09-30', 2.0, 'Deploy em produção', NOW()),
(2, 7, 1, '2025-09-30', 3.0, 'Monitoramento pós-deploy', NOW()),

(3, 1, 1, '2025-09-27', 7.0, 'Finalização das telas de métricas', NOW()),
(3, 3, 1, '2025-09-27', 1.0, 'Testes E2E das novas funcionalidades', NOW()),
(3, 1, 1, '2025-09-30', 4.0, 'Implementação de loading states', NOW()),
(3, 7, 1, '2025-09-30', 2.0, 'Correção de bugs reportados', NOW()),
(3, 5, 1, '2025-09-30', 2.0, 'Atualização do guia de usuário', NOW());
